#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
187.519575,324,495.709752
187.508892,323,496.181376
187.378082,326,496.68824
187.578183,307,497.148507
187.557157,325,498.277401
187.570551,287,498.69294
187.573203,280,499.131382
187.490482,287,499.54894
187.465163,282,499.959213
187.584364,313,500.411169
187.438718,278,500.822461
187.367431,278,501.86622
187.503367,276,502.262197
187.573023,308,502.699508
187.573183,311,503.144663
187.564277,316,503.597076
187.584528,344,504.111076
187.56301,308,504.543234
187.559089,276,505.566716
187.429135,283,505.990299
187.406098,326,506.533007
187.33325,295,506.996067
187.476446,303,507.443854
187.528864,274,507.831381
187.519249,293,508.265196
187.548599,297,509.353955
187.493922,288,509.756274
187.493573,302,510.17547
187.530049,316,510.630829
187.555526,295,511.050161
187.397593,287,511.460894
187.545627,307,512.550861
72.721339,114,512.735202
187.482961,292,513.149799
187.562917,320,513.603757
187.538026,295,514.041698
187.473503,293,514.452222
187.456547,313,514.899473
187.523239,280,515.314924
187.45259,281,516.329237
187.553849,286,516.748634
187.40525,302,517.221552
187.516495,283,517.634256
187.431523,278,518.026541
187.558496,289,518.439241
187.49721,279,518.849307
187.588219,315,519.933135
187.30413,327,520.385849
187.450261,301,520.817208
187.469641,296,521.241818
187.528431,308,521.685776
187.490974,331,522.152121
187.344868,295,522.594206
187.488075,306,523.662624
187.537267,315,524.135741
187.511132,303,524.561265
187.525337,302,524.991513
187.537183,267,525.38108
187.467392,323,525.861266
187.484848,274,526.845072
187.292713,301,527.315401
187.566745,274,527.732689
187.538807,298,528.184918
187.56293,320,528.673353
187.344064,303,529.166843
187.345397,282,529.614048
187.580543,279,530.662983
187.470566,313,531.160239
187.495479,299,531.615088
187.581686,297,532.056043
187.51731,289,532.473528
187.557369,282,532.901814
187.332325,295,533.3263
51.06945,104,533.486369
187.537,297,534.529054
187.446344,304,534.95422
187.440382,312,535.399767
187.290589,291,535.812762
187.452057,287,536.227626
187.322196,318,536.679966
187.384776,284,537.090326
187.574971,280,538.140873
187.573842,313,538.581966
187.394963,289,538.996713
187.465393,314,539.448958
187.555404,282,539.875785
13.785227,52,539.958443
187.358179,281,540.367018
187.249968,280,540.778034
187.52748,303,541.828258
187.55794,281,542.252553
187.485752,284,542.65606
187.565428,300,543.122531
187.54051,289,543.539905
187.581707,304,544.082299
187.578924,290,544.534498
187.430522,301,545.571448
187.552261,301,545.997727
187.408611,285,546.422063
187.559149,298,546.851467
187.449478,288,547.254882
187.405347,299,547.700353
187.498535,297,548.176027
187.451526,282,549.19516
187.315354,310,549.676135
187.588063,319,550.144324
187.596285,305,550.587534
187.446134,292,551.033414
187.595252,312,551.526842
187.499356,305,552.569188
187.42247,267,552.995619
187.446724,286,553.420477
187.385932,278,553.905992
187.536462,267,554.295797
187.531436,284,554.71647
187.581465,272,555.101908
187.488513,310,555.529912
187.591956,320,556.595101
59.389052,126,556.79337
187.390508,271,557.178964
187.534607,268,557.565753
187.545091,292,557.996043
187.367933,288,558.490118
187.427207,289,558.922412
187.490685,289,559.953457
187.569523,297,560.417289
187.374586,310,560.870668
187.409248,289,561.273947
187.520926,292,561.698449
187.576779,278,562.102231
187.449935,306,562.553994
187.422585,302,563.619748
187.482061,277,564.035667
187.437819,299,564.466444
187.575923,297,564.91973
187.350786,299,565.354068
187.403641,285,565.747513
187.505482,279,566.140759
187.531496,318,567.222038
187.559283,286,567.635589
187.362208,286,568.065796
187.570958,303,568.504146
187.489088,281,568.961856
187.497408,301,569.407189
187.431738,294,569.845266
187.577881,297,570.877423
187.569352,294,571.32031
187.518352,280,571.729857
187.561756,298,572.162275
187.555856,300,572.595573
187.431519,288,573.00409
187.532587,301,573.444918
116.525422,197,573.734281
187.487837,283,574.80578
187.497494,271,575.243713
187.540811,282,575.653755
187.344754,305,576.093028
187.440452,270,576.482146
187.567412,291,576.892888
187.483943,296,577.361108
187.479251,284,578.402949
187.30801,278,578.828893
187.421201,311,579.302895
187.566127,314,579.754719
187.59177,312,580.241766
187.403818,304,580.686194
187.329275,271,581.08343
187.554699,284,582.091367
187.494128,269,582.481502
187.543534,325,582.959869
187.377645,294,583.385577
187.504871,290,583.808903
187.561549,286,584.26197
187.494071,308,584.729571
187.495299,300,585.862163
187.435173,277,586.293338
187.444871,298,586.73889
187.583635,271,587.154626
187.464499,329,587.652389
187.367387,300,588.109511
120.203963,185,588.394482
187.366482,291,589.519574
187.495455,273,589.946645
187.287425,279,590.400499
187.546863,282,590.801967
187.529938,301,591.224179
187.527005,276,591.616718
187.40408,294,592.034144
187.586999,298,593.057376
187.260263,272,593.460534
187.445497,292,593.88194
187.488466,305,594.317763
187.446792,329,594.830417
187.510355,287,595.266393
187.533685,276,595.669938
187.50071,298,596.69548
187.419815,290,597.119983
187.299039,305,597.551344
187.535748,273,597.944965
126.64968,194,598.223243
187.374352,297,598.637047
187.532291,310,599.075001
187.551139,299,600.208439
187.473673,312,600.652343
187.416674,292,601.076684
187.501956,269,601.454285
187.334947,303,601.897506
187.43687,282,602.31531
187.393547,274,602.718785
187.500611,309,603.775703
187.525595,303,604.236965
187.386547,330,604.729902
187.463893,295,605.152659
187.502906,339,605.654729
187.375481,289,606.058055
187.516872,342,606.538216
187.51607,325,607.617172
187.361865,308,608.054689
187.344071,322,608.493574
187.52643,302,608.911025
187.432675,284,609.349136
187.546794,296,609.776903
187.494784,317,610.834137
187.51702,324,611.331902
187.494492,304,611.770031
187.476643,306,612.21742
187.552358,291,612.639866
187.256925,318,613.105927
42.845193,90,613.25111
187.536647,324,613.718319
187.431536,296,614.79042
187.501718,300,615.242028
187.541776,292,615.679883
187.443184,295,616.090619
187.530069,283,616.493929
187.538249,306,616.932589
187.499832,320,617.397734
187.56606,353,618.518792
187.381697,292,618.942209
187.576019,300,619.381288
187.494214,336,619.847615
187.421471,317,620.32763
187.511395,292,620.750214
187.436348,307,621.788418
187.509843,300,622.220402
187.551215,315,622.67918
187.561671,316,623.126323
187.532818,309,623.578063
187.442703,304,624.027999
187.443001,310,624.476782
187.550768,314,625.573556
187.493704,312,626.053507
187.539496,289,626.463084
187.588601,312,626.895035
187.439318,312,627.355936
187.452722,302,627.802202
187.392032,328,628.877637
187.441502,326,629.367621
187.460599,320,629.838271
187.496595,306,630.259102
